model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,55ce87,mobile,60.0,0.32368492542391175,0.38807226939832906,2.019407104288166
claude-opus-4.6,3bb8f9,mobile,20.0,0.3902786385762207,0.5049965364313708,1.4272130162285885
claude-opus-4.6,3bb8f9,mobile,40.0,0.5555474716740966,0.6210019306814271,0.552464666671509
claude-opus-4.6,3bb8f9,mobile,60.0,0.5792198831896542,0.6398110182637982,0.44161886849017074
claude-opus-4.6,5bcc14,mobile,20.0,0.10344403782083221,0.16933838868244094,6.64073756299401
claude-opus-4.6,5bcc14,mobile,40.0,0.17166174410557963,0.2887862677726065,4.403814650430133
claude-opus-4.6,5bcc14,mobile,60.0,0.21693079638498813,0.3576167156480148,2.8174858061302936
claude-opus-4.6,91d919,mobile,20.0,0.7526387190923305,0.6351225069065051,0.8544584151997742
claude-opus-4.6,91d919,mobile,40.0,0.8705226775784274,0.7424101753955297,0.3365975312683781
claude-opus-4.6,91d919,mobile,60.0,0.880623070994218,0.7377608702082115,0.31504664732256626
claude-opus-4.6,16e611,mobile,20.0,0.17183077502187533,0.28668534590075434,4.139450135694217
claude-opus-4.6,16e611,mobile,40.0,0.2207652525980786,0.3620510420299475,2.182621049788321
claude-opus-4.6,16e611,mobile,60.0,0.24126840658397625,0.39128827072049643,1.5466371981559721
claude-opus-4.6,46e638,mobile,20.0,-0.023192440167415236,0.1360616748744261,6.693979054248271
claude-opus-4.6,46e638,mobile,40.0,-0.034462057248921596,0.29231998020298267,3.9807595470940047
claude-opus-4.6,46e638,mobile,60.0,-0.039557011403014666,0.37206886384162025,2.5004342730100615
claude-opus-4.6,1f0773,mobile,20.0,0.024682115589040876,0.15886616323121378,6.264255801626478
claude-opus-4.6,1f0773,mobile,40.0,0.045169694546161224,0.29244251791115883,3.766454069330983
claude-opus-4.6,1f0773,mobile,60.0,0.06431941437172681,0.3595462433466262,2.5615308421596525
claude-opus-4.6,26c4ef,mobile,20.0,0.2712627777928735,0.2850873582856153,4.221376361135794
claude-opus-4.6,26c4ef,mobile,40.0,0.40521915714129586,0.4275717570016675,1.7630793981869248
claude-opus-4.6,26c4ef,mobile,60.0,0.4609230459107121,0.4743601654306155,1.1365425625489842
claude-opus-4.6,aa6f23,mobile,20.0,0.07139103299768733,0.1641763590377098,6.624752631420062
claude-opus-4.6,aa6f23,mobile,40.0,0.13238707467392805,0.2694473643520658,3.22471928465127
claude-opus-4.6,aa6f23,mobile,60.0,0.18511331595432146,0.30802646636818015,1.9178918527479698
claude-opus-4.6,6f401f,mobile,20.0,0.20770626261781186,0.2563993011479714,4.573685640716086
claude-opus-4.6,6f401f,mobile,40.0,0.3466932875812663,0.420623073171976,2.145209681208871
claude-opus-4.6,6f401f,mobile,60.0,0.3993387172161172,0.45440129196731405,1.3765178663761162
claude-opus-4.6,af9990,mobile,20.0,0.05730312688272791,0.1669713802945484,6.100299063194878
claude-opus-4.6,af9990,mobile,40.0,0.09676471018965298,0.3140322166650433,3.2021462879099953
